Who was the President of the Second Continental Congress when the Declaration of Independence was adopted?,"Elbridge Gerry, John Adams, John Hancock, Mary Washington",What year was the beginning of the Revolutionary War?,"1775, 1776, 1777, 1778","
Where did the delegates of  the Thirteen Colonies meet in the summer of 1776 to decide the case for liberty?","Philadelphia, Maryland, Connecticut, Delaware","
What common displays are seen during Independence Day?","Fireworks Display, Laser Display, Synchronized Swimming Display, Mass Gymnastics Display"
Where was John Adams from?,"Massachusetts, Virginia, New York, Pennsylvania","When was the ""Lee Resolution"" introduced?","June 7 1776, June 6 1775, June 7 1777, June 7 1773",What were the original colonies called?,"The big four, the twelve colonies, the thirteen colonies, committee of five",Early Fourth of July Celebration Included what of the following?,"Cow Racing, Cannon Fire, Lacrosse, Football"
Where was Benjamin Franklin from?,"Pennsylvania, Massachusetts, Connecticut, Michigan",What poem commemorated the ride of Paul Revere?,"Twinkle Twinkle Little Paul, Once More Unto the Breach, Dashing through the Brits, Paul Revere's Ride",Where did the Boston Tea Party take place?,"Massachusetts, Washington, Oregon, Iowa",What year was the first July Fourth Celebration?,"1776, 1774, 1777, 1779"
Where was Thomas Jefferson from?,"Virginia, Ohio, Massachusetts, New York",What did Paul Revere shout during his ride?,"the British are coming, nothing, yeet yeet, tally ho ",What group was the main adversary of the Thirteen Colonies? ,"USSR, Great Britain, Mexico, Spain",Which state made July 4th an official state holiday?,"Washington D.C, Delaware, Connecticut, Massachusetts"
Where was Robert R. Livingston from?,"New York, Virginia, Washington, Oregon",What are the first shots of the Revolutionary War referred to as?,"First Boom, Last Bang, The Shot Heard Around the World, Big Bang",Where were the stamps of the Stamp Act of 1765 created?,"Moscow, London, Hong Kong, Macau",Where did the tradition of settings of fireworks on the 4th of July originate?,"Massachusetts, Philadelphia, Connecticut, Delaware"
Where was Roger Sherman from?,"Connecticut, Maryland, Rhode Island, Hawaii",What year did Jefferson write the first draft of the Declaration of Independence?,"1887, 1775, 1773, 1776",Where did the Boston Massacre take place?,"Massachusetts, Washington, Oregon, Iowa",When did the U.S Congress make July 4th a federal holiday?,"1870, 1871, 1872, 1873"
Who did the delegates push for originally to write the Declaration of Independance? ,"Richard Henry Lee, George Washington, Alfred Hitchcock, Ulysses Grant","What year were the ""Dunlap Broadsides"" delivered? 1777, 1776, 1774, 1772","1777, 1776, 1774, 1772",Where was Paul Revere born?,"Britain, New York, Delaware, Boston",What is the most common symbol of the July 4th holiday?,"American Flag, Confederate Flag, Fireworks, Eagle"
What did Richard Henry Lee write?,"Lee Resolution, U.S Constitution, Declaration of Independence, Romeo and Juliet",When did Britain impose the Intolerable Acts?,"1760s, 1780s, 1740s, 1770s","Where was the signal sent, on the night of April 18 1775,  to alert American patriots that British troops were on the move?","Charlestown, Charleston, Wimbleby, York",What is the most common musical accompaniment of the July 4th holiday?,"The Stars and Stripes, Yankee Doodle, The Star Spangled Banner, We are the Champions"
"Who, at first, had no interest in penning the Declaration?","Thomas Jefferson, John Adams, Samuel Adams, Kerwin Rothschild",What was the reason for the Boston Tea Party?,"Intolerable Acts, Tea Act, East Indian Trading, Slavery",Where did Paul Revere's journey end?,"Concord, Gettysburg, Lexington, Leonardtown",What is the New England tradition on July 4th?,"Eating Beets, Eating Salmon, Drinking Tea, Rioting"
Who wrote the Declaration of Independence?,"Thomas Jefferson, John Adams, Samuel Adams, Kerwin Rothschild",What was one of the ways the British employed to oppress the Colonials?,"War, Tax, Theft, Slavery",Where were the vast majority of slaves from during the colonial era?,"Africa, Asia, Europe, Middle East",Where is the oldest annual July 4th celebration held?,"New York, Delaware, Rhode Island, Connecticut"
This Connecticut signee was the Governor from 1786-1796,"Samuel Huntington. John James, Williams Williamson, Chloe Bagshot",What was the event where British troops fired upon civilians?,"Ohio Bombing, Boston Massacre, Salty Skirmish, Definitive Blow","Where was he ""Shot Heard Round the World""? ","Boston, Lexington, Gettysburg, Prague",Where is the shortest July 4th parade locaed?,"New York, Delaware, Rhode Island, California"
"Who was known as the ""Objection Maker""?","Josiah Bartlett, Henry Williams, James Kissinger, Robert Treat Paine",What item was taxed that become a pre-cursor to the Revolution?,"Stamps, Stones, Iron, Gas",Where did peace negotiations begin between the British and Americans?,"Hotel d'York, Motel 1776, Casa de Chauville, Continental Inn",How long is the shortest July 4th parade?,".6 miles, 500 feet, 1 mile, 10 miles"
"Who was called the ""Demosthenes of Maryland""?","Charles Carroll, Thomas Jefferson, Samuel Chase, Benedict Arnold",What was the Boston Massacre otherwise known as?,"Boston Bombing, Boston Killing, King Street Incident, Queen's Gambit",Where was the truest copy of the 1776 handwritten Declaration of Independence found?,"Auction, Antique Store, Bank Vault, Flea Market",What is the most common dish on the 4th of July?,"Hamburgers, Hotdogs, Tacos, Ribs"
"This signer died as the result of a duel outside Savannah, Geogria","Button Gwinett, George Walton, Abraham Lincoln, Lyman Hall",What event ended the American Revolutionary War?,"British Destruction, Treaty of Versailles, French Revolution, Treaty of Paris",Where is the 1776 Declaration of Independence currently housed?,"Smithsonian Institution, Library of Congress, National Archives, Harvard",What statue was torn down in Manhattan in 1776 upon hearing the words of the Declaration of Independence?,"Columbus, King George I, King George II, King George III"
This signer was the third to die out of all the other signers,"Lewis Morris, John Williams, Keith Richards, Philip Livingston",What date is the chosen Independance Day holiday?,"July 4, June 4, July 6, July 2",Where is a Dunlap Copy currently housed in Philadelphia?,"Library of Philadelphia, Independence National Historic Park, Colonial Statue, Museum of American History","In Philadelphia in 1776, what was used as kindling for bonfire's upon hearing the words of the Declaration of Independence?","Firewood, Paper, King's Coat of arms, Coal"
"This signer was captured by the British and was held captive for over a year in St. Augustine, Florida","Thomas Lynch, Arthur Middleton, Edward Rutledge, Sahin the Falcon",When did the Committee of Five first present the document to congress?,"June 9, August 24, April 12, June 28",Where is Stone's Copperplate currently housed?,"Smithsonian Institution, Library of Congress, National Archives, Yale University","How did citizens of Savannah, Georgia celebrate upon hearing the words of the Declaration of Independence in 1776?","Burn King Effigy, Fireworks Display, Cannonfire, unlimited sweet tea"
Who was the second oldest signer of the Declaration of Independence?,"Stephen Hopkins, Carter Braxton, Jacob Johnson, Kyle Flowers",What was the battle called when Colonial militias blockaded the narrow land accesses to Charlestown and Boston?,"Waco Massacre, Battle of the Burg, Revolutionary Skirmish, Siege of Boston",What was the United States of America's original name?,"The Trump Confederacy, The Trade Federation, The New Colonies, The Thirteen Colonies",2020 will mark the what anniversary of July 4th?,"234, 235, 346, 123"
This signer was appointed the first chair of law at the College of William and Mary,"Thomas Nelson, W.E.B Dubois, Thorne Hicks, George Wythe",When did the Continental Congress declare independence?,"July 4, July 2, July 3, July 1",Who did the Thirteen Colonies declare war on?,"The French, The Spanish, The British, The Iroqouis","Approximately, how many Independence Day Firewroks celebrations are there every year","15000, 10000, 1000, 20000"
This signer was a trustee of Dickinson College,"James Smith, Lee Helms, Jack Bauer, Benjamin Rush",When was the Declaration of Independence delivered to Great Britain? ,"November 1776, October 1776, December 1775, April 1776",Where was the Second Continental Congress located?,"Boston State House, Philadelphia State House, Delaware State House, Jamestown Town Hall",The Boston Pops Fireworks Spectacular averages approximately in cost on July 4th?,"1 million, 2 million, 3 million, 4 million"
This signer was a former sea captain who commanded troops during the Revolutionary War.,"Matthew Thornton, William Whipple, Jack Black, Abraham Clark",What was the date the Declaration of Independence was signed?,"August 2, August 1, July 4, July 1",Where was the First Continental Congress located?,"Brickers inn, Carpenter's Hall,,Freemason Lodge, Castle of Illuminous","Approximately, how many hotdogs do Americans consume while celebrating Independence Day?","150 million, 160 million, 100 million, 200 million"